4398569	0.01043407	0.759932	0.005343348	-0.1711281	0.6527669	-0.207826
4398577	0.01043728	0.759932	0.005338654	-0.1711276	0.6527652	-0.2078264
4398588	0.01043423	0.759932	0.005334005	-0.1711289	0.6527696	-0.2078254
4398600	0.01043326	0.759932	0.005329832	-0.171129	0.65277	-0.2078253
4398610	0.01041037	0.759932	0.005324289	-0.1711354	0.6527918	-0.20782
4398620	0.01040839	0.759932	0.005316898	-0.17114	0.6528074	-0.2078162
4398632	0.01039558	0.759932	0.005309254	-0.1711445	0.6528228	-0.2078125
4398643	0.01039961	0.759932	0.005300313	-0.1711463	0.6528288	-0.2078111
4398665	0.01041286	0.759932	0.005283237	-0.171151	0.6528449	-0.2078072
4398678	0.01044744	0.759932	0.005253717	-0.1711488	0.6528373	-0.207809
4398687	0.01046298	0.759932	0.005239561	-0.1711494	0.6528394	-0.2078085
4398698	0.01047923	0.759932	0.005230516	-0.1711442	0.6528219	-0.2078127
4398710	0.01049507	0.759932	0.005224064	-0.1711452	0.6528253	-0.2078119
4398720	0.01052434	0.759932	0.005212829	-0.1711465	0.6528296	-0.2078108
4398732	0.0105321	0.759932	0.00520806	-0.1711503	0.6528426	-0.2078077
4398743	0.01052579	0.759932	0.005214095	-0.1711541	0.6528554	-0.2078047
4398754	0.01053262	0.759932	0.005219758	-0.171163	0.6528859	-0.2077973
4398765	0.01048902	0.759932	0.005241394	-0.1711679	0.6529025	-0.2077933
4398777	0.01046524	0.759932	0.005257979	-0.1711716	0.6529149	-0.2077902
4398787	0.01044482	0.759932	0.00527069	-0.1711737	0.6529221	-0.2077885
4398798	0.01040518	0.759932	0.005289331	-0.1711732	0.6529206	-0.2077889
4398818	0.01039321	0.759932	0.005295932	-0.1711737	0.6529221	-0.2077885
4398832	0.01036367	0.759932	0.005314529	-0.1711699	0.6529093	-0.2077916
4398844	0.01035315	0.759932	0.005322039	-0.1711679	0.6529024	-0.2077933
4398854	0.01033741	0.759932	0.005324453	-0.1711656	0.6528948	-0.2077951
4398865	0.01035146	0.759932	0.005314425	-0.1711645	0.6528907	-0.2077961
4398876	0.0103657	0.759932	0.005302042	-0.1711622	0.652883	-0.2077979
